series_xml_id,default_code,variant_thickness,variant_color,variant_adhesive_type,variant_base_material,variant_peel_strength,variant_adhesive_std,variant_base_material_std,variant_color_std,variant_fire_rating,variant_holding_power,variant_pe_peel,variant_sus_peel,variant_thickness_std
catalog_tesa_618xx,61885,150 µm,黑色,改性丙烯酸,PET（聚酯）薄膜,13.5 N/cm,改性丙烯酸,PET（聚酯）薄膜,黑色,none,,,,150 µm
catalog_tesa_619xx,61970,220 µm,透明,改性丙烯酸,PP（聚丙烯）薄膜,13 N/cm,改性丙烯酸,PP（聚丙烯）薄膜,透明,none,,,,220 µm
catalog_tesa_6262x,62624,200 µm,黑色,改性丙烯酸,PE（聚乙烯）泡棉,13 N/cm,改性丙烯酸,PE（聚乙烯）泡棉,黑色,none,,,,200 µm
catalog_tesa_6262x,62625,250 µm,黑色,改性丙烯酸,PE（聚乙烯）泡棉,13 N/cm,改性丙烯酸,PE（聚乙烯）泡棉,黑色,none,,,,250 µm
catalog_tesa_6262x,62626,300 µm,黑色,改性丙烯酸,PE（聚乙烯）泡棉,13 N/cm,改性丙烯酸,PE（聚乙烯）泡棉,黑色,none,,,,300 µm
catalog_tesa_649xx,64908,800 µm,黑色,LSE,PE泡棉,19 N/cm,LSE,PE泡棉,黑色,none,,,,800 µm
catalog_tesa_649xx,64912,1200 µm,黑色,特殊,PE（聚乙烯）泡棉,20 N/cm,特殊,PE（聚乙烯）泡棉,黑色,none,,,,1200 µm
catalog_tesa_660xx,66022,220μm,透明,水性丙烯酸,PET网格,12.3 N/cm,水性丙烯酸,PET网格,透明,none,,,,220μm
catalog_tesa_661xx,66186,300 µm,黑色,改性丙烯酸,PE（聚乙烯）泡棉,11 N/cm,改性丙烯酸,PE（聚乙烯）泡棉,黑色,none,,,,300 µm
catalog_tesa_668xx,66822,150 µm,黑色,改性丙烯酸,PE（聚乙烯）泡棉,9 N/cm,改性丙烯酸,PE（聚乙烯）泡棉,黑色,none,,,,150 µm
catalog_tesa_668xx,66824,200 µm,黑色,改性丙烯酸,PE（聚乙烯）泡棉,11.5 N/cm,改性丙烯酸,PE（聚乙烯）泡棉,黑色,none,,,,200 µm
catalog_tesa_668xx,66825,250 µm,黑色,改性丙烯酸,PE（聚乙烯）泡棉,11.8 N/cm,改性丙烯酸,PE（聚乙烯）泡棉,黑色,none,,,,250 µm
catalog_tesa_668xx,66826,300 µm,黑色,改性丙烯酸,PE（聚乙烯）泡棉,12.5 N/cm,改性丙烯酸,PE（聚乙烯）泡棉,黑色,none,,,,300 µm
catalog_tesa_668xx,66828,400 µm,黑色,改性丙烯酸,PE（聚乙烯）泡棉,12.6 N/cm,改性丙烯酸,PE（聚乙烯）泡棉,黑色,none,,,,400 µm
catalog_tesa_668xx,66866,300 µm,白色,改性丙烯酸,PE（聚乙烯）泡棉,11.5 N/cm,改性丙烯酸,PE（聚乙烯）泡棉,白色,none,,,,300 µm
