brand_id_xml,brand_name,categ_id_xml,item_code,param_key,param_name,value,unit,condition_summary,test_method,test_condition,remark,sequence
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7983,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7972,peel_strength,剥离力,TESA4972、3M9019、日东5605,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7972,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7980,peel_strength,剥离力,TESA4980、日东5608,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7980,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7982,peel_strength,剥离力,TESA4982、日东5610,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7982,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7928,peel_strength,剥离力,"TESA4928、3M9495MP、日东5612,3M9795Le",,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7928,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7965,structure,结构描述,（浅红色OPP离型膜）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7980BH,total_thickness,总厚度,0 μm,μm,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7980BH,peel_strength,剥离力,TESA4980黑胶，日东5608B,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7980BH,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7982BH,peel_strength,剥离力,TESA4982黑胶，日东5610B,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7982BH,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7982P,peel_strength,剥离力,TESA4982（PP基材）,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7982P,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS15BH #160,peel_strength,剥离力,用于电视机喇叭网的粘贴,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_protection_film,CF5060,peel_strength,剥离力,用于胶带模切过程中的排废用,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_protection_film,CF5060,structure,结构描述,我司创新产品,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,CF775080DT,peel_strength,剥离力,手机、LCD背光源遮光胶带,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,CF775080DT,structure,结构描述,我司创新产品,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,6025DT,peel_strength,剥离力,3M9158,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,6025DT,structure,结构描述,夹心PET双面胶带；0.125,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,6050DT,peel_strength,剥离力,3M9157,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,6050DT,structure,结构描述,夹心PET双面胶带；0.15,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,6075DT,structure,结构描述,夹心PET双面胶带；0.175,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,6100DT,structure,结构描述,夹心PET双面胶带；0.2,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,6125DT,structure,结构描述,夹心PET双面胶带；0.225,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,6175DT,structure,结构描述,夹心PET双面胶带；0.275,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,6188DT,structure,结构描述,夹心PET双面胶带；0.288,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7025,peel_strength,剥离力,夹心PET双面胶带；0.125,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7025,structure,结构描述,PET双面胶带；0.125,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7025DT,peel_strength,剥离力,适用于薄膜开关间隔片和手机按键等，耐温100℃。,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7025DT,structure,结构描述,夹心PET双面胶带；0.125,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7050,peel_strength,剥离力,夹心PET双面胶带；0.150,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7050,structure,结构描述,PET双面胶带；0.150,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7075,peel_strength,剥离力,夹心PET双面胶带；0.175,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7075,structure,结构描述,PET双面胶带；0.175,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7075DT,structure,结构描述,夹心PET双面胶带；0.175,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7100,peel_strength,剥离力,夹心PET双面胶带；0.2,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7100,structure,结构描述,PET双面胶带；0.2,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7100DT,structure,结构描述,夹心PET双面胶带；0.2,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7125,peel_strength,剥离力,夹心PET双面胶带；0.225,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7125,structure,结构描述,PET双面胶带；0.225,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7125DT,structure,结构描述,夹心PET双面胶带；0.225,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7175,peel_strength,剥离力,夹心PET双面胶带；0.275,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7175,structure,结构描述,PET双面胶带；0.275,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7175DT,structure,结构描述,夹心PET双面胶带；0.275,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7188,peel_strength,剥离力,夹心PET双面胶带；0.288,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,DS31-7188,structure,结构描述,PET双面胶带；0.288,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7188DT,structure,结构描述,夹心PET双面胶带；0.288,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_single,7025ST,structure,结构描述,耐温100℃。,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,7050ST,peel_strength,剥离力,PET单面胶带；0.125,,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_single,7075ST,peel_strength,剥离力,PET单面胶带；0.15,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_single,7100ST,peel_strength,剥离力,PET单面胶带；0.175,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_single,7125ST,peel_strength,剥离力,PET单面胶带；0.225,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_single,7175ST,peel_strength,剥离力,PET单面胶带；0.238,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_single,7188ST,peel_strength,剥离力,10倍黑色PE泡绵；2.0,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,71972,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,71980,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,71982,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,71928,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,71967,peel_strength,剥离力,"TESA51967,3M9795B",,,,,,10
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,71967,structure,结构描述,（白、棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_pet_double,71965,structure,结构描述,（棕色格拉辛离型纸）,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS311/PN,peel_strength,剥离力,用于标牌贴,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS311/PN,structure,结构描述,永大、永一标牌贴产品,,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS312/PN,peel_strength,剥离力,用于标牌贴,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS312/PN,structure,结构描述,"永大、永一标牌贴产品,3M9448A",,,,,,1001
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS313/PN,peel_strength,剥离力,用于标牌贴,,,,,,1000
brand_ui_皇冠_4,皇冠（huangguan）,category_tape_tissue,DS313/PN,structure,结构描述,永大、永一标牌贴产品,,,,,,1001
brand_tesa,Tesa,category_tape_tissue,4961,liner_description,离型材料类型,玻璃纤维纸,,,,,,10
brand_tesa,Tesa,category_tape_tissue,4961,liner_color,离型纸颜色,棕色,,,,,,10
brand_tesa,Tesa,category_tape_tissue,4961,elongation_at_break,断裂延展率,3 %,%,,,,,10
brand_tesa,Tesa,category_tape_tissue,4961,tensile_strength,抗张强度,48 N/cm,N/cm,,,,,10
brand_tesa,Tesa,category_tape_tissue,4961,initial_tack,初粘力,好,,,,,,10
brand_tesa,Tesa,category_tape_tissue,4961,plasticizer_resistance,抗增塑剂,普通,,,,,,10
brand_tesa,Tesa,category_tape_tissue,4961,uv_aging_resistance,抗老化（UV）,普通,,,,,,10
brand_tesa,Tesa,category_tape_tissue,4961,short_term_heat_resistance,短期耐温,110 °C,°C,,,短期,,10
brand_tesa,Tesa,category_tape_tissue,4961,chemical_resistance,耐化学品,普通,,,,,,10
brand_tesa,Tesa,category_tape_tissue,4961,long_term_heat_resistance,长期耐温,40 °C,°C,,,长期,,10
brand_tesa,Tesa,category_tape_tissue,4961,moisture_resistance,防潮,普通,,,,,,10
brand_tesa,Tesa,category_tape_tissue,4961,static_shear,静态剪切,非常好,,,,40°C,,40
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,5.2 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,4.5 N/cm,N/cm,,,ABS表面；初始,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,5.1 N/cm,N/cm,,,ABS表面；14天后,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,4.2 N/cm,N/cm,,,铝表面；初始,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,4.5 N/cm,N/cm,,,铝表面；14天后,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,5.2 N/cm,N/cm,,,PC表面；初始,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,5.1 N/cm,N/cm,,,PC表面；14天后,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,3.4 N/cm,N/cm,,,PE表面；初始,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,3.3 N/cm,N/cm,,,PE表面；14天后,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,4.3 N/cm,N/cm,,,PET表面；初始,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,4.5 N/cm,N/cm,,,PET表面；14天后,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,4.6 N/cm,N/cm,,,PP表面；初始,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,5 N/cm,N/cm,,,PP表面；14天后,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,4.7 N/cm,N/cm,,,PS表面；初始,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,5.5 N/cm,N/cm,,,PS表面；14天后,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,3.8 N/cm,N/cm,,,PVC表面；初始,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,4.5 N/cm,N/cm,,,PVC表面；14天后,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,5.2 N/cm,N/cm,,,钢表面；初始,,1000
brand_tesa,Tesa,category_tape_tissue,4961,peel_strength,剥离力,5.3 N/cm,N/cm,,,钢表面；14天后,,1000
brand_tesa,Tesa,,4963,elongation_at_break,断裂延展率,30 %,%,,,,,10
brand_tesa,Tesa,,4963,tensile_strength,抗张强度,50 N/cm,N/cm,,,,,10
brand_tesa,Tesa,,4963,initial_tack,初粘力,好,,,,,,10
brand_tesa,Tesa,,4963,plasticizer_resistance,抗增塑剂,普通,,,,,,10
brand_tesa,Tesa,,4963,uv_aging_resistance,抗老化（UV）,差,,,,,,10
brand_tesa,Tesa,,4963,short_term_heat_resistance,短期耐温,70 °C,°C,,,,,10
brand_tesa,Tesa,,4963,chemical_resistance,耐化学品,差,,,,,,10
brand_tesa,Tesa,,4963,moisture_resistance,防潮,非常好,,,,,,10
brand_tesa,Tesa,,4963,static_shear,静态剪切,好,,,,,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,6 N/cm,N/cm,,,,,40
brand_tesa,Tesa,,4963,static_shear,静态剪切,好,,,,40°C,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,5 N/cm,N/cm,,,ABS表面；初始,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,6 N/cm,N/cm,,,ABS表面；14天后,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,4 N/cm,N/cm,,,铝表面；初始,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,5 N/cm,N/cm,,,铝表面；14天后,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,6 N/cm,N/cm,,,PC表面；初始,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,7 N/cm,N/cm,,,PC表面；14天后,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,4 N/cm,N/cm,,,PE表面；初始,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,4 N/cm,N/cm,,,PE表面；14天后,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,5 N/cm,N/cm,,,PET表面；初始,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,5 N/cm,N/cm,,,PET表面；14天后,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,4 N/cm,N/cm,,,PP表面；初始,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,7 N/cm,N/cm,,,PP表面；14天后,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,5 N/cm,N/cm,,,PS表面；初始,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,7 N/cm,N/cm,,,PS表面；14天后,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,5 N/cm,N/cm,,,PVC表面；初始,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,6 N/cm,N/cm,,,PVC表面；14天后,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,6 N/cm,N/cm,,,钢表面；初始,,40
brand_tesa,Tesa,,4963,peel_strength_180,剥离力,6 N/cm,N/cm,,,钢表面；14天后,,40
brand_tesa,Tesa,,4963,liner_description,离型材料,PV0 棕色皱褶PVC薄膜；PV1 棕色格拉辛纸,,,,,,220
brand_tesa,Tesa,category_tape_foam,51928,peel_strength,剥离力,9.6 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,51966,peel_strength,剥离力,10.5 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,51970,peel_strength,剥离力,13 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,51977,peel_strength,剥离力,12.6 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,51980,peel_strength,剥离力,8.6 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,52215,peel_strength,剥离力,8 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,58323,peel_strength,剥离力,8 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,58332,peel_strength,剥离力,4.7 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,58334,peel_strength,剥离力,7 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,58360,peel_strength,剥离力,7.3 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,58364,peel_strength,剥离力,7.6 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,58372,peel_strength,剥离力,7.1 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,58374,peel_strength,剥离力,8.2 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_tissue,58375,peel_strength_180,剥离力,9 N/cm,N/cm,,,ASTM表面；初始,,40
brand_tesa,Tesa,category_tape_tissue,58375,peel_strength_180,剥离力,8 N/cm,N/cm,,,PET表面；初始,,40
brand_tesa,Tesa,category_tape_tissue,58375,peel_strength_180,剥离力,7 N/cm,N/cm,,,PI表面；初始,,40
brand_tesa,Tesa,category_tape_tissue,58375,peel_strength,剥离力,8.9 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,60975,peel_strength,剥离力,7 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,60977,peel_strength,剥离力,9.6 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,60978,peel_strength,剥离力,7.9 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,60980,peel_strength,剥离力,9.8 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61055,peel_strength,剥离力,17.5 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61086,peel_strength,剥离力,15.5 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61087,peel_strength,剥离力,16.1 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61088,peel_strength,剥离力,16.6 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61210,peel_strength,剥离力,12.5 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61220,peel_strength,剥离力,16.6 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61325,peel_strength,剥离力,16.4 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61335,peel_strength,剥离力,15.5 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61360,peel_strength,剥离力,13.7 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61365,peel_strength,剥离力,13.7 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61370,peel_strength,剥离力,13.9 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61385,peel_strength,剥离力,14.1 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61390,peel_strength,剥离力,14.3 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61865,peel_strength,剥离力,11 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61885,peel_strength,剥离力,13.5 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,61970,peel_strength,剥离力,13 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,62624,peel_strength,剥离力,13 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,62625,peel_strength,剥离力,13 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,62626,peel_strength,剥离力,13 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,64908,peel_strength,剥离力,19 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,64912,peel_strength,剥离力,20 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,66022,peel_strength,剥离力,12.3 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,66186,peel_strength,剥离力,11 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,66822,peel_strength,剥离力,9 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,66824,peel_strength,剥离力,11.5 N/cm,,,,,,1000
brand_tesa,Tesa,category_tape_foam,66825,peel_strength,剥离力,11.8 N/cm,,,,,,1000
